Paket,Version,Deskripsi,Source
apt-sources-list,2.0.2+xentaos2,,
apturl,0.5.4+xentaos2,,
apturl-common,0.5.4+xentaos2,,
base-files,99.2.0+xentaos2,,
desktop-file-utils,0.23.2+xentaos2,,
grub2-theme-xenta,1.3.4+xentaos2,Paket Grub2 theme untuk Xenta OS.,
libplymouth-dev,0.9.3,,
libplymouth4,0.9.3,,
libreoffice-style-xenta,1.3.2+xentaos2,Paket Icon Theme Gaya Xenta Untuk LibreOffice.,
mdm,2.0.21,,
paketku,1.3.6+xentaos2,,
paketku-dep,1.3.6+xentaos2,,
plymouth,0.9.3,,
plymouth-dbg,0.9.3,,
plymouth-label,0.9.3,,
plymouth-theme-ubuntu-logo,0.9.3,,
plymouth-theme-ubuntu-text,0.9.3,,
plymouth-theme-xentaos,1.3.6+xentaos2,,
plymouth-themes,0.9.3,Paket Bawaan Theme Plymouth.,
plymouth-x11,0.9.3,,
python-software-properties,1.7.0+xentaos2,,
python3-software-properties,1.7.0+xentaos2,,
software-properties-common,1.7.0+xentaos2,,
software-properties-gtk,1.7.0+xentaos2,,
software-properties-kde,1.7.0+xentaos2,,
syslinux-themes-xentaos-cinnamon,2.1.5+xentaos2,,
syslinux-themes-xentaos-xfce,2.1.5+xentaos2,,
ubiquity-slideshow-xenta,99xenta20,Paket Slideshow Ubiquity untuk Xenta OS.,
ubuntu-system-adjustments,2019.12.24,,
xenta-artwork,1.3.5+xentaos2,Paket Base Xenta OS Artwork.,
xenta-artwork-applications,1.3.5+xentaos2,Paket Base Xenta OS Artwork Aplikasi.,
xenta-artwork-cinnamon,5.5.6+xentaos2,Paket Base Xenta OS Artwork Aplikasi.,
xenta-artwork-common,3.1.7+xentaos2,Paket Base Pasangan Artwork Xenta OS.,
xenta-artwork-gnome,2.7.0+xentaos2,,
xenta-artwork-xfce,5.0.5+xentaos2,,
xenta-backgrounds,1.3.1+xentaos2,Paket Wallpaper Default Xenta OS.,
xenta-backgrounds-arok,1.3.4+xentaos2,Paket Wallpaper Desktop Xenta OS 1.3 LTS Arok.,
xenta-backgrounds-batik,1.3.4+xentaos2,Paket Wallpaper Desktop Xenta OS 2.0 LTS Batik.,
xenta-backgrounds-xfce,2.0.1+xentaos2,,
xenta-base-common,1.3.3+xentaos2,Paket Base Xenta OS pasangan casper. ,
xenta-common,1.3.4+xentaos2,Paket Pasangan Script untuk Xenta OS.,
xenta-icons,1.3.3+xentaos2,Paket Pasangan Xenta-X icon theme. ,
xenta-info-cinnamon,1.3.5+xentaos2,Paket Untuk Informasi Xenta OS Edisi Cinnamon.,
xenta-info-xfce,1.3.5+xentaos2,,
xenta-mdm-themes,2019.12.24,Paket Pemisah untuk Xenta OS GDM & HTML Themes.,
xenta-mdm-themes-gdm,2019.12.24,Paket GDM MDM Display Manager Theme. ,
xenta-mdm-themes-html,2019.12.24,Paket HTML MDM Display Manager Theme.,
xenta-mirrors,1.3.4+xentaos2,Paket Pasangan Xenta Software Source.,
xenta-psdthumbnailer,1.3.3+xentaos2,Paket Base Xenta OS Penampil Berkas *.psd di Nemo File ,
xenta-software-center,1.4.1+xentaos2,Paket Software Center Xenta OS.,
xenta-themes,1.5.0+xentaos2,,
xenta-user-guide-cinnamon,1.3.5+xentaos2,Paket Panduan Xenta OS Edisi Cinnamon,
xenta-user-guide-xfce,1.3.5+xentaos2,Paket Panduan Xenta OS Edisi Xfce,
xenta-x-theme,1.3.7+xentaos2,,
xenta-y-theme,2.0.1+xentaos2,Paket Bawaan Theme Xenta Y untuk Xenta OS Xfce.,
xentaos-keyring,2019.12.24+xentaos2,Paket Kunci GnuPG untuk Mengakses Repository. ,
xentaremaster,2.3.4+xentaos2,,
xentascreenfetch,3.7.3+xentaos2,,
xentasources,1.7.0+xentaos2,,
xentasystem,8.3.6+xentaos2,,
